Colombia,COL,15.3062758,19.88392429,20.38034069,25.00036503,25.57547995,30.88919603,31.47072555,36.41636683,36.9435863,41.38630104
Comoros,COM,103.0779151,122.7528211,125.2686728,165.780763,171.2299839,223.0757657,229.7452982,294.3019882,301.7329393,375.4406233
Cape Verde,CPV,51.10620347,67.04640199,67.75508685,70.86823821,72.06650124,84.67890819,86.68138958,108.8677419,111.0066998,121.682134
Costa Rica,CRI,27.06462985,36.20981199,37.1791226,46.79414414,48.06359185,60.63443008,62.19455542,76.87916177,78.27653741,89.01827262
Caribbean Sea,CSS,10.55071146,12.0617169,12.20484931,13.51369643,13.66332963,14.72241077,14.82459676,15.94347536,16.04905768,16.93113252
Cuba,CUB,67.87549348,81.14639665,82.58809125,91.57520484,92.03183426,98.52962756,99.29773743,103.5082588,103.8312104,106.2395058
Curacao,CUW,284.0653153,325.9887387,331.9572072,333.4256757,334.75,327.4774775,325.231982,301.4864865,290.6463964,334.9166667
Cayman Islands,CYM,33.44166667,38.1,39.92916667,67.35,69.97916667,104.2041667,109.2125,173.6875,180.4875,231.2875
Cyprus,CYP,62.38041126,66.40898268,67.19264069,74.17813853,74.58582251,82.96655844,84.75519481,102.0873377,104.0564935,119.4464286
Czech Republic,CZE,124.0669212,127.5795393,127.1750356,133.3530866,133.3064708,133.7304905,133.4098356,132.7172641,132.2195548,135.6086225
Germany,DEU,210.1728067,223.8973706,224.3085441,224.2390399,224.5808352,227.5170538,229.1808094,235.5968133,236.0273001,234.6069082
Djibouti,DJI,3.817903365,6.888136324,7.30672994,15.48576359,16.16406385,25.38205349,26.34508197,31.17178602,31.66902502,35.84132873
Dominica,DMA,81.38,94.768,95.42133333,100.4173333,100.5013333,94.57066667,94.46533333,92.90533333,92.88,94.88933333
Denmark,DNK,108.8432145,116.3265754,117.137739,120.8831288,120.8487966,121.2771644,121.5923095,125.8452981,126.2970304,130.7490691
Dominican Republic,DOM,70.49459851,93.19358444,95.84259106,120.2249793,123.0047806,148.6681705,151.6064156,177.2066018,179.9902111,204.8423634
Algeria,DZA,0,0,0,8.119157843,8.373570163,10.87959391,11.14910822,13.09280526,13.26354682,15.13018172
Ecuador,ECU,16.89372201,21.93512498,22.57199465,28.81248736,29.55929056,36.90971319,37.78712614,50.84794653,51.75049525,60.13324207
Egypt,EGY,27.93711487,34.96770204,35.72362951,43.56778542,44.66916269,56.65505349,57.9535165,68.64724999,69.91807223,82.41598674
Eritrea,ERI,14.27026733,17.8760396,18.36034653,23.60255446,24.2939505,31.0800297,31.29350495,35.00154455,36.18817822,46.43231683
Spain,ESP,61.50556245,67.65883189,68.41345792,74.95752498,75.56271974,77.78799255,77.96541927,80.68780762,81.75399382,93.15193096
Estonia,EST,28.90014154,32.08483133,32.48301486,34.84828969,35.09473933,37.01755131,36.83213022,32.95553197,32.7462845,31.41012031
Ethiopia,ETH,20.59139964,25.80835513,26.56327884,32.00724251,32.78230609,43.64858674,45.21797184,66.443603,68.393128,87.561814
Finland,FIN,14.64593388,15.12297515,15.14207295,15.69170032,15.75877081,16.37096096,16.46061919,16.99402147,17.03275879,17.64841066
Fiji,FJI,22.28527641,28.49091407,29.09693487,34.77044335,35.62983032,39.88100712,40.25555556,44.40191571,44.56568144,47.06907499
France,FRA,86.64663438,95.02981376,95.84309654,101.0668705,101.5143818,106.8598269,106.9447555,111.2422941,112.0548591,118.7593474
Faroe Islands,FRO,24.8782235,27.64111748,27.9247851,30.80945559,31.20272206,34.40616046,34.02148997,33.3030086,33.67621777,34.79011461
Micronesia,FSM,0,0,0,0,0,0,141.1428571,153.4714286,153.1,148.0271429
